"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-05-03,"-1 wk ahead inc case",2021-04-24,"GM01","observed",NA,21382,"Baden-Württemberg State"
2021-05-03,"0 wk ahead inc case",2021-05-01,"GM01","observed",NA,21431,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","point",NA,21212,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","point",NA,20836,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","point",NA,20431,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","point",NA,20116,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.01,12807.99,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.025,13944,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.05,14995,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.1,16246,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.15,17126,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.2,17857,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.25,18485,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.3,19072,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.35,19625,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.4,20155,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.45,20682,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.5,21212,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.55,21751,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.6,22303,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.65,22882,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.7,23516,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.75,24213,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.8,24989,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.85,25908.15,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.9,27085,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.95,28937,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.975,30620,"Baden-Württemberg State"
2021-05-03,"1 wk ahead inc case",2021-05-08,"GM01","quantile",0.99,32649.1099999999,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.01,10340,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.025,11599.975,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.05,12830,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.1,14337,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.15,15414,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.2,16316,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.25,17135,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.3,17922,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.35,18655,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.4,19383,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.45,20109,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.5,20836,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.55,21591,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.6,22375,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.65,23215,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.7,24122,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.75,25149,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.8,26336.2,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.85,27757,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.9,29659.1,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.95,32656,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.975,35448.05,"Baden-Württemberg State"
2021-05-03,"2 wk ahead inc case",2021-05-15,"GM01","quantile",0.99,38891.02,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.01,8706.99,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.025,10047,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.05,11325,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.1,12937,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.15,14160.85,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.2,15172.8,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.25,16102.75,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.3,17000.7,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.35,17873.65,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.4,18729,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.45,19568,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.5,20431,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.55,21343,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.6,22306,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.65,23363,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.7,24504,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.75,25785,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.8,27266,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.85,29143,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.9,31656.1,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.95,35685.15,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.975,39479.05,"Baden-Württemberg State"
2021-05-03,"3 wk ahead inc case",2021-05-22,"GM01","quantile",0.99,44534.03,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.01,7556.98,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.025,8868,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.05,10168,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.1,11864,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.15,13138,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.2,14254.8,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.25,15283.75,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.3,16245.7,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.35,17196,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.4,18166,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.45,19117,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.5,20116,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.55,21144,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.6,22221,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.65,23427,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.7,24742,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.75,26252,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.8,28024.2,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.85,30261,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.9,33318,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.95,38260.1,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.975,43125.2999999999,"Baden-Württemberg State"
2021-05-03,"4 wk ahead inc case",2021-05-29,"GM01","quantile",0.99,49547,"Baden-Württemberg State"
