"forecast_date","target","target_end_date","location","type","quantile","value","location_name"
2021-05-10,"-1 wk ahead inc case",2021-05-01,"PL72","observed",NA,4986,"Dolnoslaskie"
2021-05-10,"0 wk ahead inc case",2021-05-08,"PL72","observed",NA,3254,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","point",NA,2094,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","point",NA,1337,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","point",NA,854,"Dolnoslaskie"
2021-05-10,"4 wk ahead inc case",2021-06-05,"PL72","point",NA,546,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.01,1229,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.025,1347,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.05,1447,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.1,1577,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.15,1669,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.2,1745,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.25,1812,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.3,1873,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.35,1930,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.4,1986,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.45,2041,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.5,2094,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.55,2149,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.6,2207,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.65,2267,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.7,2332,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.75,2402,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.8,2482,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.85,2577,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.9,2703,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.95,2896,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.975,3069,"Dolnoslaskie"
2021-05-10,"1 wk ahead inc case",2021-05-15,"PL72","quantile",0.99,3275,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.01,636,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.025,723,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.05,802,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.1,902,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.15,974,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.2,1036,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.25,1092,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.3,1142,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.35,1191,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.4,1240,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.45,1287,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.5,1337,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.55,1388,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.6,1439,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.65,1498,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.7,1560,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.75,1630,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.8,1711,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.85,1810,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.9,1936,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.95,2135,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.975,2321,"Dolnoslaskie"
2021-05-10,"2 wk ahead inc case",2021-05-22,"PL72","quantile",0.99,2559,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.01,348,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.025,404,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.05,458,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.1,528,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.15,580,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.2,625,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.25,665,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.3,704,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.35,741,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.4,777,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.45,814,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.5,854,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.55,894,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.6,937,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.65,983,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.7,1033,"Dolnoslaskie"
2021-05-10,"3 wk ahead inc case",2021-05-29,"PL72","quantile",0.75,1090,"Dolnoslaskie"
