"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","point",NA,152
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","point",NA,144
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","point",NA,137
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","point",NA,131
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.01,43
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.025,59
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.05,74
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.1,90
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.15,103
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.2,112
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.25,120
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.3,127
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.35,134
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.4,140
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.45,146
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.5,152
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.55,158
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.6,164
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.65,170
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.7,177
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.75,184
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.8,192
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.85,201
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.9,213
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.95,230
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.975,244
2021-05-03,"1 wk ahead inc death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.99,259
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.01,38
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.025,52
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.05,65
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.1,81
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.15,93
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.2,102
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.25,110
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.3,118
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.35,124
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.4,131
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.45,138
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.5,144
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.55,151
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.6,158
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.65,165
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.7,173
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.75,182
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.8,192
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.85,204
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.9,219
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.95,242
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.975,263
2021-05-03,"2 wk ahead inc death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.99,285
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.01,33
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.025,47
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.05,60
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.1,74
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.15,85
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.2,94
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.25,102
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.3,110
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.35,117
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.4,123
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.45,130
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.5,137
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.55,145
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.6,152
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.65,160
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.7,168
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.75,177
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.8,189
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.85,203
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.9,220
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.95,248
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.975,278
2021-05-03,"3 wk ahead inc death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.99,310
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.01,32
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.025,43
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.05,53
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.1,68
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.15,78
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.2,86
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.25,94
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.3,102
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.35,109
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.4,116
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.45,123
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.5,131
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.55,138
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.6,147
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.65,155
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.7,165
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.75,176
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.8,188
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.85,203
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.9,224
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.95,254
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.975,288
2021-05-03,"4 wk ahead inc death",2021-05-29,"GM01","Baden-Wurttemberg","quantile",0.99,330
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","point",NA,9518
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","point",NA,9663
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","point",NA,9801
2021-05-03,"4 wk ahead cum death",2021-05-29,"GM01","Baden-Wurttemberg","point",NA,9933
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.01,9409
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.025,9425
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.05,9440
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.1,9456
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.15,9469
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.2,9478
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.25,9486
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.3,9493
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.35,9500
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.4,9506
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.45,9512
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.5,9518
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.55,9524
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.6,9530
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.65,9536
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.7,9543
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.75,9550
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.8,9558
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.85,9567
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.9,9579
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.95,9596
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.975,9610
2021-05-03,"1 wk ahead cum death",2021-05-08,"GM01","Baden-Wurttemberg","quantile",0.99,9625
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.01,9480
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.025,9506
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.05,9527
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.1,9554
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.15,9573
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.2,9590
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.25,9605
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.3,9618
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.35,9630
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.4,9641
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.45,9652
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.5,9663
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.55,9674
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.6,9685
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.65,9696
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.7,9709
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.75,9723
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.8,9739
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.85,9757
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.9,9780
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.95,9815
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.975,9849
2021-05-03,"2 wk ahead cum death",2021-05-15,"GM01","Baden-Wurttemberg","quantile",0.99,9885
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.01,9541
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.025,9578
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.05,9609
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.1,9644
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.15,9673
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.2,9697
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.25,9718
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.3,9735
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.35,9753
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.4,9769
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.45,9785
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.5,9801
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.55,9817
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.6,9833
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.65,9852
2021-05-03,"3 wk ahead cum death",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.7,9870
