"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","point",NA,3114
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","point",NA,1840
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","point",NA,1066
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","point",NA,606
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.01,1291
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.025,1564
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.05,1804
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.1,2100
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.15,2294
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.2,2458
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.25,2580
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.3,2699
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.35,2808
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.4,2907
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.45,3011
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.5,3114
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.55,3223
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.6,3316
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.65,3408
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.7,3516
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.75,3640
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.8,3770
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.85,3923
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.9,4108
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.95,4398
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.975,4643
2021-05-03,"1 wk ahead inc case",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.99,4900
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.01,388
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.025,525
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.05,672
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.1,873
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.15,1021
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.2,1155
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.25,1286
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.3,1404
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.35,1506
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.4,1621
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.45,1733
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.5,1840
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.55,1956
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.6,2087
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.65,2228
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.7,2365
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.75,2538
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.8,2731
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.85,3006
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.9,3327
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.95,3873
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.975,4353
2021-05-03,"2 wk ahead inc case",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.99,5011
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.01,86
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.025,142
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.05,214
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.1,321
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.15,410
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.2,500
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.25,589
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.3,677
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.35,767
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.4,864
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.45,965
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.5,1066
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.55,1179
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.6,1304
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.65,1463
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.7,1639
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.75,1835
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.8,2073
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.85,2402
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.9,2872
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.95,3652
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.975,4569
2021-05-03,"3 wk ahead inc case",2021-05-22,"PL72","Dolnoslaskie Province","quantile",0.99,5757
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.01,19
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.025,35
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.05,58
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.1,108
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.15,154
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.2,200
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.25,257
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.3,311
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.35,376
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.4,444
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.45,519
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.5,606
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.55,705
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.6,819
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.65,954
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.7,1127
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.75,1330
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.8,1596
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.85,1983
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.9,2562
2021-05-03,"4 wk ahead inc case",2021-05-29,"PL72","Dolnoslaskie Province","quantile",0.95,3745
