"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","point",NA,310
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","point",NA,350
2021-05-03,"3 wk ahead inc death",2021-05-22,"PL72","Dolnoslaskie Province","point",NA,395
2021-05-03,"4 wk ahead inc death",2021-05-29,"PL72","Dolnoslaskie Province","point",NA,444
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.01,188
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.025,209
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.05,225
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.1,243
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.15,257
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.2,267
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.25,276
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.3,283
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.35,290
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.4,297
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.45,304
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.5,310
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.55,317
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.6,323
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.65,329
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.7,337
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.75,345
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.8,353
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.85,364
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.9,377
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.95,395
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.975,412
2021-05-03,"1 wk ahead inc death",2021-05-08,"PL72","Dolnoslaskie Province","quantile",0.99,432
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.01,216
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.025,238
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.05,254
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.1,275
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.15,289
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.2,300
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.25,311
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.3,319
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.35,327
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.4,335
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.45,343
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.5,350
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.55,358
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.6,365
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.65,373
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.7,381
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.75,390
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.8,400
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.85,412
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.9,426
2021-05-03,"2 wk ahead inc death",2021-05-15,"PL72","Dolnoslaskie Province","quantile",0.95,448
