"forecast_date","target","target_end_date","location","location_name","type","quantile","value"
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","point",NA,11127
2021-05-17,"2 wk ahead inc case",2021-05-29,"GM01","Baden-Wurttemberg","point",NA,9005
2021-05-17,"3 wk ahead inc case",2021-06-05,"GM01","Baden-Wurttemberg","point",NA,7271
2021-05-17,"4 wk ahead inc case",2021-06-12,"GM01","Baden-Wurttemberg","point",NA,5838
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.01,5695
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.025,6546
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.05,7258
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.1,8109
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.15,8698
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.2,9148
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.25,9522
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.3,9891
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.35,10224
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.4,10531
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.45,10815
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.5,11127
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.55,11430
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.6,11743
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.65,12037
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.7,12362
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.75,12734
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.8,13118
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.85,13577
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.9,14154
2021-05-17,"1 wk ahead inc case",2021-05-22,"GM01","Baden-Wurttemberg","quantile",0.95,15047
